City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Beloha,MG,-25.1667,45.05,72.01,78,11,6.15,few clouds
79,Lagos,NG,6.5833,3.75,79.12,93,98,5.55,light rain
80,Nkhata Bay,MW,-11.6066,34.2907,78.75,64,4,2.04,clear sky
81,East London,ZA,-33.0153,27.9116,63.54,59,0,24.16,clear sky
82,Bathsheba,BB,13.2167,-59.5167,88.41,62,40,24.16,scattered clouds
83,Volda,NO,62.1476,6.0741,47.08,84,99,7.63,overcast clouds
84,Laguna,US,38.421,-121.4238,64.26,80,75,4.0,broken clouds
85,Malartic,CA,48.1335,-78.1328,44.42,57,53,7.05,broken clouds
86,Torbay,CA,47.6666,-52.7314,63.88,93,90,16.11,overcast clouds
87,San Jose,US,37.3394,-121.895,65.01,68,40,5.75,scattered clouds
88,Lagoa,PT,39.05,-27.9833,66.69,73,5,14.29,clear sky
89,Cascais,PT,38.6979,-9.4215,76.35,49,0,6.91,clear sky
90,Strezhevoy,RU,60.7333,77.5889,44.58,88,100,14.9,overcast clouds
91,Igrim,RU,63.1906,64.4162,37.65,85,69,15.52,broken clouds
92,Abu Dhabi,AE,24.4667,54.3667,86.11,66,0,6.91,clear sky
93,Mitsamiouli,KM,-11.3847,43.2844,80.89,74,20,14.97,few clouds
94,Qaanaaq,GL,77.484,-69.3632,-1.39,57,0,7.94,clear sky
95,Bambous Virieux,MU,-20.3428,57.7575,75.45,78,40,10.36,scattered clouds
96,Araguacu,BR,-12.9306,-49.8264,91.09,41,94,4.79,overcast clouds
97,Sechura,PE,-5.5569,-80.8222,76.1,61,99,8.72,overcast clouds
98,Zapolyarnyy,RU,69.4154,30.8136,25.88,94,100,14.61,overcast clouds
99,Bria,CF,6.5423,21.9863,71.92,93,28,2.53,light rain
100,Clyde River,CA,70.4692,-68.5914,23.49,80,96,15.39,overcast clouds
101,Buchanan,LR,5.8808,-10.0467,78.96,86,78,7.29,broken clouds
102,Surt,LY,31.2089,16.5887,84.22,33,100,17.67,overcast clouds
103,Mayumba,GA,-3.432,10.6554,77.31,85,72,4.43,broken clouds
104,Vigia Del Fuerte,CO,6.5789,-76.8863,79.09,91,90,2.26,light rain
105,Retz,AT,48.7494,15.9624,51.89,64,8,6.15,clear sky
106,Thompson,CA,55.7435,-97.8558,33.96,75,75,4.61,light shower snow
107,Nelipyno,UA,48.561,23.0315,48.69,70,82,1.92,broken clouds
108,Raduzhnyy,RU,62.0961,77.475,40.66,91,100,12.64,overcast clouds
109,Hamilton,US,39.1834,-84.5333,61.65,67,20,1.99,few clouds
110,Luhyny,UA,51.082,28.4006,43.81,67,92,11.3,overcast clouds
111,Bogo,PH,11.0517,124.0055,78.26,86,100,8.37,overcast clouds
112,Champagnole,FR,46.7445,5.9135,48.51,83,0,5.95,clear sky
113,Piacabucu,BR,-10.4056,-36.4344,83.61,69,55,14.67,broken clouds
114,Dehloran,IR,32.6941,47.2679,77.86,14,0,5.84,clear sky
115,Belturbet,IE,54.1,-7.45,54.63,94,100,14.14,light rain
116,Pontes E Lacerda,BR,-15.2261,-59.3353,101.28,30,46,11.79,scattered clouds
117,Tabuk,PH,17.4189,121.4443,72.9,94,100,2.82,overcast clouds
118,Arandis,NA,-22.4167,14.9667,56.46,61,0,7.76,clear sky
119,Cayenne,GF,4.9333,-52.3333,81.09,85,90,3.0,light rain
120,Padang,ID,-0.9492,100.3543,77.11,90,75,3.13,broken clouds
121,Kidal,ML,18.4411,1.4078,94.15,15,68,6.82,broken clouds
122,Yozgat,TR,39.5833,35.3333,51.33,21,0,1.43,clear sky
123,Constitucion,CL,-35.3333,-72.4167,59.86,55,4,18.86,clear sky
124,La Asuncion,VE,11.0333,-63.8628,94.73,52,69,20.71,broken clouds
125,Dustlik,UZ,40.5247,68.0358,47.53,32,5,3.96,clear sky
126,Saint George,US,37.1041,-113.5841,72.07,26,72,1.01,broken clouds
127,Chulym,RU,55.0997,80.9572,45.25,72,100,18.79,overcast clouds
128,Amasia,TR,40.6533,35.8331,53.33,35,0,3.24,clear sky
129,Salalah,OM,17.0151,54.0924,78.89,78,0,2.3,clear sky
130,Bystrice Pod Hostynem,CZ,49.3992,17.674,44.64,69,35,4.41,scattered clouds
131,Turukhansk,RU,65.8167,87.9833,31.91,98,100,13.56,light snow
132,Oranjestad,AW,12.524,-70.027,91.35,58,40,21.85,scattered clouds
133,Tarko-Sale,RU,64.9225,77.785,32.47,99,100,12.17,light snow
134,Puerto Leguizamo,CO,-0.1934,-74.7819,94.6,41,68,3.0,broken clouds
135,Belmonte,BR,-15.8631,-38.8828,78.8,90,100,10.27,moderate rain
136,Jalu,LY,29.0331,21.5482,77.2,30,1,8.88,clear sky
137,Dilla,ET,6.41,38.31,64.67,73,83,4.79,broken clouds
138,Mairana,BO,-18.1167,-63.9333,82.67,38,29,12.48,scattered clouds
139,Beroroha,MG,-21.6667,45.1667,75.18,29,0,3.8,clear sky
