City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
412,Praia,CV,86.54,clear sky,14.9215,-23.5087,LT Aparthotel
416,Keti Bandar,PK,79.41,clear sky,24.1447,67.4497,Haji laloo memon house
421,Guarapari,BR,78.69,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
422,Maxixe,MZ,75.02,few clouds,-23.8597,35.3472,Oceano
426,Kavaratti,IN,81.79,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
430,Qeshm,IR,80.47,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
431,Ambilobe,MG,76.73,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
433,Manacapuru,BR,86.58,broken clouds,-3.2997,-60.6206,Novo Hotel
435,Macas,EC,85.75,moderate rain,-2.3167,-78.1167,Casa Upano
438,Abnub,EG,80.82,few clouds,27.2696,31.1511,Romany Adly Gad
440,Encruzilhada,BR,79.95,overcast clouds,-15.5314,-40.9094,Hotel e Restaurante Rio Pardo
445,Hadejia,NG,87.55,overcast clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
447,Masunga,BW,83.1,scattered clouds,-20.6246,27.4488,
452,Linden,GY,80.74,overcast clouds,6.0,-58.3,Crimson Bat Hotel
454,Akyab,MM,76.89,overcast clouds,20.15,92.9,Hotel Memory
455,Doka,SD,84.49,scattered clouds,13.5167,35.7667,
458,Resplendor,BR,83.82,broken clouds,-19.3256,-41.2553,Pousada Bixu de Pé
461,Lucea,JM,87.66,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
467,Manaus,BR,86.5,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
468,Kot Addu,PK,75.06,clear sky,30.4692,70.9671,Mohammad Ayub General Store
471,Asyut,EG,80.78,few clouds,27.181,31.1837,Florence Hotel Assiut
474,Timbiqui,CO,79.65,light rain,2.7717,-77.6654,hotel diana
478,Dutse,NG,83.7,overcast clouds,11.7594,9.3392,Central Mosque Galamawa
484,Bukene,TZ,79.11,overcast clouds,-4.2333,32.8833,New Millenium Lodge
489,Edea,CM,75.96,broken clouds,3.8,10.1333,Micotel Hotel
490,Lubango,AO,76.86,clear sky,-14.9172,13.4925,Hotel Serra da Chela
492,Puri,IN,75.72,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
493,Manjacaze,MZ,80.62,clear sky,-24.7117,33.8828,Hotel Gani
498,Boueni,YT,78.78,clear sky,-12.9025,45.0761,The feet in water
499,Camargo,MX,81.36,clear sky,27.6667,-105.1667,Hotel Santa Fe
503,Adrar,MR,82.47,scattered clouds,20.5022,-10.0711,
507,Kodinar,IN,77.43,clear sky,20.7903,70.7031,residency of N.B vadhel
508,Weligama,LK,78.93,few clouds,5.9667,80.4167,Weligama Bay Resort
509,Mana,GF,83.03,moderate rain,5.6592,-53.7767,LE SAMANA
510,Bara,NG,78.37,light rain,10.3744,10.7288,
512,Port Antonio,JM,89.91,broken clouds,18.18,-76.4612,The Trident Hotel
513,Trairi,BR,86.14,scattered clouds,-3.2778,-39.2689,janelas do mar
519,Bikaner,IN,80.49,broken clouds,28.0167,73.3,Karina Guest House
522,Berbera,SO,85.68,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
526,Kattivakkam,IN,84.29,broken clouds,13.2167,80.3167,Euronova Freezer
527,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
534,Nioro,GM,86.56,broken clouds,13.35,-15.75,
543,Bilma,NE,88.07,clear sky,18.6853,12.9164,Expeditions Ténére voyages
544,Matara,LK,78.4,few clouds,5.9485,80.5353,Amaloh Boutique Resort
546,Diu,IN,76.73,clear sky,20.7141,70.9822,Hotel Relax Inn
547,Peniche,PT,76.48,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
548,Santiago Del Estero,AR,77.81,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
551,Mogadishu,SO,79.92,few clouds,2.0371,45.3438,Hotel Juba
559,Eyl,SO,78.76,clear sky,7.9803,49.8164,Amiin Hotel
561,Maputo,MZ,76.23,clear sky,-25.9653,32.5892,Pestana Rovuma
563,Yarada,IN,82.72,mist,17.65,83.2667,Vishranti
568,Muli,MV,82.51,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
571,Caxito,AO,79.45,light rain,-8.5785,13.6643,
572,Inirida,CO,86.14,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
574,Ipixuna,BR,85.95,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
575,Freetown,SL,80.96,broken clouds,8.484,-13.2299,The Country Lodge Hotel
576,El Carmen,CO,77.38,overcast clouds,8.5106,-73.4478,Hotel La Casona
578,Beira,MZ,77.14,clear sky,-19.8436,34.8389,Beira Terrace Hotel
582,Grand-Santi,GF,89.37,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
584,Porto Novo,BJ,75.87,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
586,Amapa,BR,88.75,overcast clouds,1.0,-52.0,
591,Fowa,NG,76.41,broken clouds,8.9167,6.4,
592,Yafran,LY,76.64,overcast clouds,32.0633,12.5286,بيوت الشباب بيفرن
596,Sabla,NG,87.6,overcast clouds,12.7525,4.7077,
597,Mumford,GH,79.09,overcast clouds,5.2618,-0.759,Spanish Villa
600,Tabou,CI,78.28,light rain,4.423,-7.3528,hotêl doufoulougou
603,Santa Cruz Cabralia,BR,75.43,overcast clouds,-16.2781,-39.0247,Puerto Princesa Inn
607,Soyo,AO,80.65,overcast clouds,-6.1349,12.3689,Hotel Mpampa
608,Saint Pete Beach,US,88.25,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
612,Veraval,IN,79.09,clear sky,20.9,70.3667,Lords Inn Somnath
613,Barmer,IN,78.33,clear sky,25.75,71.3833,OYO 71911 Hotel Amber Palace
614,Mainpuri,IN,75.4,clear sky,27.2333,79.0167,HOTEL PALM LUXURY INN
619,Bahua,IN,75.27,clear sky,25.85,80.6333,Ringal Cabin
620,Harper,LR,78.46,light rain,4.375,-7.7169,Screensaver
623,Gamba,GA,76.64,overcast clouds,-2.65,10.0,
630,Carutapera,BR,85.8,overcast clouds,-1.195,-46.02,Lidera
632,Sakakah,SA,80.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
644,Marrakesh,MA,78.87,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
646,Boulsa,BF,89.28,overcast clouds,12.6675,-0.5758,Centre d'accueil de Nasongdo
648,Puerto Narino,CO,87.75,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
651,Aden,YE,84.31,few clouds,12.7794,45.0367,Sama Emirate Hotel
652,Jacareacanga,BR,88.93,light rain,-6.2222,-57.7528,Casa do Ian😎
654,Balad,IQ,78.08,scattered clouds,34.0164,44.1453,رضاوي زنوبة
659,Palenque,MX,82.56,scattered clouds,17.5167,-91.9667,Hotel Chablis Palenque
663,Koundara,GN,82.54,overcast clouds,12.4833,-13.3,
668,Gogrial,SS,78.69,broken clouds,8.5332,28.1004,
670,Razole,IN,75.88,broken clouds,16.4833,81.8333,Sterling Palavelli Godavari
671,Seminole,US,88.43,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
673,Aiken,US,75.34,clear sky,33.5835,-81.5998,Aiken Cottages
